timestamp,exec_twist_x,exec_twist_y,exec_twist_z,exec_twist_r,exec_twist_p,exec_twist_yaw,p_goal_0_raw,p_goal_1_raw,p_goal_2_raw,p_goal_0,p_goal_1,p_goal_2
25.078526,0.000000,0.000000,0.000000,-0.019642,-0.021549,0.022616,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.103536,0.000000,0.000000,0.000000,-0.018004,-0.019355,0.020780,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.128422,0.000000,0.000000,0.000000,-0.013900,-0.014848,0.016141,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.155635,0.000000,0.000000,0.000000,-0.012172,-0.012850,0.014195,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.180835,0.000000,0.000000,0.000000,-0.011612,-0.012148,0.013564,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.206401,0.000000,0.000000,0.000000,-0.011666,-0.012029,0.013624,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.232744,0.000000,0.000000,0.000000,-0.011091,-0.011387,0.012951,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.257771,0.000000,0.000000,0.000000,-0.009923,-0.010143,0.011587,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.283108,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.310050,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.334193,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.362507,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.387282,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.413426,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.438038,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.463169,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.489459,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.515521,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.542397,0.000000,0.000000,0.000000,-0.006372,-0.006494,0.007440,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
