timestamp,norm_pos_x,norm_pos_y,screen_pos_x,screen_pos_y
34.353568,0.266425,0.791464,341.023834,150.146179
34.382422,0.265181,0.791750,339.431488,149.939972
34.411443,0.263877,0.791750,337.763153,149.939896
34.447456,0.262710,0.791693,336.268738,149.980881
34.479452,0.261879,0.791687,335.205536,149.985199
34.515440,0.261251,0.791926,334.401367,149.813324
34.547496,0.260552,0.792362,333.506104,149.499313
34.579459,0.260054,0.792362,332.869110,149.499084
34.615438,0.259774,0.792503,332.510925,149.397598
34.647482,0.259651,0.792391,332.352905,149.478821
34.679453,0.259725,0.792730,332.448181,149.234543
34.715482,0.259723,0.792945,332.445374,149.079819
34.747458,0.259486,0.793292,332.141937,148.829803
34.783456,0.259208,0.793452,331.786285,148.714691
34.815462,0.258857,0.793313,331.337494,148.814804
34.847444,0.258613,0.792965,331.024811,149.065399
34.883449,0.258604,0.792296,331.013489,149.546600
34.915457,0.258522,0.791487,330.908630,150.129349
34.947448,0.258334,0.791057,330.668152,150.438904
34.983460,0.258169,0.791057,330.456451,150.438660
35.015482,0.257955,0.790999,330.181793,150.480667
35.051474,0.257844,0.790649,330.040771,150.732697
35.083465,0.257950,0.789957,330.175751,151.230850
35.115496,0.257955,0.789181,330.182159,151.789749
35.151477,0.258130,0.788752,330.406097,152.098434
35.183443,0.258218,0.788149,330.519592,152.532715
35.215417,0.258313,0.787293,330.640076,153.149399
35.251446,0.258386,0.786021,330.733704,154.064651
35.283458,0.258530,0.784429,330.918610,155.211151
37.259718,0.500653,0.461735,640.835571,387.550934
37.305481,0.503346,0.458014,644.283142,390.229950
37.338072,0.505929,0.453062,647.588684,393.795044
37.365483,0.508733,0.447957,651.177979,397.471008
37.395414,0.510909,0.443281,653.963623,400.837402
37.427373,0.512386,0.439345,655.854065,403.671356
37.463409,0.513249,0.435135,656.958984,406.702637
37.495397,0.513636,0.430855,657.454651,409.784058
37.527437,0.513973,0.427010,657.885437,412.552856
37.563764,0.514791,0.423263,658.932190,415.250824
37.595397,0.516137,0.418856,660.655029,418.423859
37.631465,0.517402,0.414304,662.274353,421.701233
37.663431,0.518457,0.409734,663.624695,424.991669
37.695417,0.519036,0.405154,664.365784,428.289124
37.731410,0.519054,0.401476,664.388794,430.936920
37.763453,0.518399,0.398686,663.551208,432.946289
37.799395,0.517480,0.397152,662.374878,434.050232
37.831889,0.516821,0.396257,661.531128,434.695007
37.863412,0.516703,0.395388,661.380066,435.320557
37.899397,0.516829,0.394721,661.541382,435.801086
37.931901,0.517048,0.393708,661.821411,436.530457
37.963422,0.517578,0.393058,662.499512,436.997986
37.999383,0.518035,0.392468,663.084900,437.423157
38.031380,0.518378,0.392118,663.524292,437.674896
38.067461,0.518443,0.392059,663.607178,437.717224
38.099420,0.518440,0.391820,663.603149,437.889526
38.131382,0.518575,0.391070,663.776123,438.429413
38.167385,0.518911,0.390318,664.206543,438.971222
38.199390,0.519378,0.389368,664.803284,439.654724
38.231369,0.519909,0.388815,665.483215,440.053375
38.273352,0.520076,0.388967,665.697510,439.944092
38.316663,0.520056,0.389257,665.671082,439.734833
38.347130,0.519668,0.389485,665.174988,439.570740
38.376532,0.519258,0.389860,664.649780,439.300629
38.406121,0.519068,0.390135,664.407227,439.102631
38.435359,0.518706,0.389930,663.943481,439.250244
38.467412,0.518405,0.389780,663.557861,439.358368
38.499391,0.517994,0.389230,663.031982,439.754333
38.535403,0.517461,0.388592,662.349915,440.213959
38.567353,0.516713,0.387501,661.392273,440.999481
38.603405,0.515623,0.386477,659.997620,441.736694
38.635375,0.514348,0.385506,658.365295,442.435913
38.667375,0.512513,0.384746,656.016846,442.983032
38.703413,0.510373,0.384389,653.277344,443.239868
38.735394,0.508335,0.384289,650.668823,443.312195
38.767363,0.506376,0.384140,648.161499,443.419403
38.803376,0.504919,0.383856,646.295715,443.623505
38.835342,0.503607,0.383767,644.617371,443.687958
38.871431,0.502351,0.384133,643.008667,443.424133
38.903348,0.501141,0.384521,641.460815,443.144745
38.935420,0.500049,0.384693,640.062500,443.020996
38.971387,0.499212,0.384528,638.991089,443.139862
39.003402,0.498634,0.384037,638.251465,443.493347
39.035394,0.498608,0.383442,638.217834,443.921936
39.071380,0.498874,0.383122,638.558167,444.152130
39.103357,0.499090,0.383055,638.835510,444.200592
39.139381,0.499206,0.383499,638.984131,443.880615
39.171390,0.499128,0.383858,638.883850,443.621948
39.203359,0.499066,0.384188,638.804810,443.384796
39.239378,0.499091,0.384332,638.836792,443.280609
40.815388,0.422389,0.396897,540.657898,434.234009
40.859710,0.420812,0.396921,538.639404,434.216858
40.889132,0.419282,0.396872,536.681519,434.252350
40.915357,0.417778,0.396761,534.756409,434.331787
40.947396,0.416208,0.396636,532.745728,434.422028
40.979326,0.414575,0.396974,530.656128,434.179047
41.015406,0.413395,0.397296,529.145264,433.947235
41.047336,0.412383,0.397166,527.850647,434.040680
41.083324,0.411418,0.396593,526.615601,434.453094
41.115365,0.410339,0.395859,525.234253,434.981659
41.147311,0.408993,0.394851,523.511353,435.707031
41.183409,0.407513,0.394093,521.617188,436.252747
41.215352,0.405874,0.394161,519.519043,436.203979
41.247323,0.404343,0.394444,517.559387,436.000000
41.283313,0.403089,0.395097,515.953674,435.530151
41.315313,0.402250,0.395945,514.879395,434.919525
41.351349,0.401859,0.396959,514.379883,434.189728
41.383347,0.401666,0.397723,514.131958,433.639740
41.415347,0.401337,0.398139,513.710938,433.339722
41.451372,0.401232,0.398509,513.576782,433.073578
41.483345,0.401269,0.398754,513.624390,432.897430
41.515304,0.401496,0.398534,513.914856,433.055389
41.551335,0.401972,0.398177,514.524109,433.312592
41.583309,0.402559,0.397828,515.275024,433.563660
41.619351,0.402888,0.397953,515.696777,433.473633
41.651343,0.403055,0.398468,515.909790,433.102814
41.683365,0.403360,0.398581,516.300232,433.021637
41.719350,0.403642,0.398748,516.661560,432.901733
41.751348,0.404129,0.398717,517.285461,432.923889
41.783380,0.404725,0.398659,518.047913,432.965729
43.191351,0.338499,0.416751,433.279022,419.939087
43.232432,0.336646,0.416429,430.907257,420.171356
43.262892,0.335065,0.415898,428.883820,420.553467
43.291326,0.333508,0.415510,426.889923,420.832825
43.327348,0.331779,0.415484,424.677734,420.851868
