timestamp,world_index,world_index_corrected,x,y,z
3.319555713,90,99,2.91144848,-0.29768258,-1.49458015
3.334970238,90,99,2.91144848,-0.29768258,-1.49458015
3.359540080,91,100,2.91150009,-0.29772368,-1.49493446
3.379507225,92,101,2.91130548,-0.29807566,-1.49494931
3.394392561,92,101,2.91131174,-0.29843494,-1.49508346
3.417056097,93,102,2.91128586,-0.29841437,-1.49490627
3.439722223,93,102,2.91128586,-0.29841437,-1.49490627
3.454578298,94,103,2.91128586,-0.29841437,-1.49490627
3.477136397,94,103,2.91117848,-0.29832708,-1.49481060
3.499601913,95,104,2.91117632,-0.29830443,-1.49472692
3.521931404,96,105,2.91117632,-0.29830443,-1.49472692
3.536948351,96,105,2.91117632,-0.29830443,-1.49472692
3.559429157,97,106,2.91117632,-0.29830443,-1.49472692
3.576071002,97,106,2.91140670,-0.29813526,-1.49557430
3.597225734,98,107,2.91127152,-0.29833641,-1.49588128
3.619599974,99,108,2.91105303,-0.29835887,-1.49513910
3.636755127,99,108,2.91105087,-0.29833621,-1.49505541
3.656988878,100,109,2.91132182,-0.29859718,-1.49576851
3.679220295,100,109,2.91136613,-0.29883029,-1.49618515
3.696875734,101,110,2.91136392,-0.29880763,-1.49610140
3.717220878,102,111,2.91124674,-0.29888978,-1.49598422
3.742174683,102,111,2.91124674,-0.29888978,-1.49598422
3.756548930,103,112,2.91139954,-0.29865882,-1.49630009
3.776834535,103,112,2.91135794,-0.29877996,-1.49663079
3.799390397,104,113,2.91133423,-0.29878208,-1.49653735
3.816194142,105,114,2.91133423,-0.29878208,-1.49653735
3.837026017,105,114,2.91111545,-0.29889401,-1.49684212
3.860234808,106,115,2.91108951,-0.29887345,-1.49666491
3.876513026,106,115,2.91108951,-0.29887345,-1.49666491
3.897363083,107,116,2.91053906,-0.29942662,-1.49616046
3.919362102,108,117,2.91053686,-0.29940390,-1.49607672
3.943575198,108,117,2.91044948,-0.29930987,-1.49668774
3.957130296,109,118,2.91054073,-0.29920710,-1.49662774
3.979363328,109,118,2.91054073,-0.29920710,-1.49662774
3.996065259,110,119,2.91025456,-0.29941983,-1.49708586
4.016813843,111,120,2.91023077,-0.29942193,-1.49699242
4.039985337,111,120,2.91003556,-0.29944213,-1.49634349
4.057327684,112,121,2.91003338,-0.29941939,-1.49625974
4.077556112,112,121,2.90983407,-0.29919280,-1.49660765
4.099479925,113,122,2.90983407,-0.29919280,-1.49660765
4.116010758,113,122,2.90983407,-0.29919280,-1.49660765
4.137480560,114,123,2.90983407,-0.29919280,-1.49660765
