timestamp,world_index,world_index_corrected,mico_joint_1_pos,mico_joint_2_pos,mico_joint_3_pos,mico_joint_4_pos,mico_joint_5_pos,mico_joint_6_pos,mico_joint_finger_1_pos,mico_joint_finger_2_pos,mico_joint_1_vel,mico_joint_2_vel,mico_joint_3_vel,mico_joint_4_vel,mico_joint_5_vel,mico_joint_6_vel,mico_joint_finger_1_vel,mico_joint_finger_2_vel,mico_joint_1_eff,mico_joint_2_eff,mico_joint_3_eff,mico_joint_4_eff,mico_joint_5_eff,mico_joint_6_eff,mico_joint_finger_1_eff,mico_joint_finger_2_eff
0.713399047,18,21,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318237,-5.865087,5.203056,0.727057,0.253506,-0.197156,0.000000,0.000000
0.725104663,18,21,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.245411,-6.339612,5.179677,0.604776,0.043708,-0.155143,0.000000,0.000000
0.736967126,18,22,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.552840,-5.739258,5.284089,0.523252,0.147879,-0.233280,0.000000,0.000000
0.749999866,18,22,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125711,-6.524990,4.895500,0.635897,0.003745,-0.275094,0.000000,0.000000
0.762929212,18,22,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169811,-6.292247,5.187327,0.689536,0.009967,-0.251899,0.000000,0.000000
0.774170557,18,23,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.245797,-6.150648,4.776406,0.518651,0.023161,-0.048457,0.000000,0.000000
0.785973573,18,23,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064471,-6.421209,4.898239,0.546018,0.116277,0.032978,0.000000,0.000000
0.797921601,19,24,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265547,-6.404124,4.981224,0.760588,0.052495,-0.005893,0.000000,0.000000
0.810264147,19,24,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.585121,-6.191341,4.704764,0.531856,0.141413,-0.264501,0.000000,0.000000
0.822127306,19,24,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.451154,-6.413904,4.970696,0.791147,0.226791,-0.273783,0.000000,0.000000
