timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
0.585916,17,17,0.948717,0.455286,0.275776,1519230659.905141-0 1519230659.906892-1,-8.543087,17.027704,89.895715,19.891683,14.461850,-20.924157,-0.248310,0.050410,0.967368,-39.328103,14.569492,-22.201352,0.264596,-0.006865,0.964335
0.588540,17,17,0.901977,0.457696,0.278034,1519230659.910390-0 1519230659.906892-1,-8.282706,17.007438,90.846391,19.891683,14.461850,-20.924157,-0.244211,0.049718,0.968447,-39.328103,14.569492,-22.201352,0.264596,-0.006865,0.964335
0.593698,17,17,0.901977,0.461506,0.272482,1519230659.910390-0 1519230659.917207-1,-7.464372,16.852601,87.598887,19.891683,14.461850,-20.924157,-0.244211,0.049718,0.968447,-39.328103,14.569492,-22.201352,0.278467,-0.008413,0.960409
0.605218,18,18,0.990000,0.477204,0.290418,1519230659.933430-0 1519230659.917207-1,-5.651943,16.439025,93.874956,19.891683,14.461850,-20.924157,-0.217051,0.040679,0.975312,-39.328103,14.569492,-22.201352,0.278467,-0.008413,0.960409
0.609620,18,18,0.990000,0.478746,0.287358,1519230659.933430-0 1519230659.926010-1,-5.347827,16.463882,92.508898,19.891683,14.461850,-20.924157,-0.217051,0.040679,0.975312,-39.328103,14.569492,-22.201352,0.283862,-0.007630,0.958835
0.613401,18,18,0.990000,0.481098,0.282850,1519230659.933430-0 1519230659.933573-1,-4.900316,16.487234,90.498476,19.891683,14.461850,-20.924157,-0.217051,0.040679,0.975312,-39.328103,14.569492,-22.201352,0.291988,-0.006676,0.956399
0.628710,18,18,0.845632,0.495496,0.296353,1519230659.964049-0 1519230659.933573-1,-3.038782,16.357092,96.603608,19.891683,14.461850,-20.924157,-0.191384,0.036883,0.980822,-39.328103,14.569492,-22.201352,0.291988,-0.006676,0.956399
0.632921,18,19,0.845632,0.497150,0.293106,1519230659.964049-0 1519230659.941995-1,-2.746870,16.392103,95.108264,19.891683,14.461850,-20.924157,-0.191384,0.036883,0.980822,-39.328103,14.569492,-22.201352,0.297556,-0.005734,0.954687
0.635439,18,19,0.845632,0.501876,0.280035,1519230659.964049-0 1519230659.947031-1,-1.961173,16.815346,91.085923,19.891683,14.461850,-20.924157,-0.191384,0.036883,0.980822,-39.328103,14.569492,-22.201352,0.313109,0.002553,0.949714
0.643581,18,19,0.845632,0.506230,0.275639,1519230659.964049-0 1519230659.963314-1,-1.289756,16.541240,87.642992,19.891683,14.461850,-20.924157,-0.191384,0.036883,0.980822,-39.328103,14.569492,-22.201352,0.327087,-0.001134,0.944993
